,0MainPrediction,1BackstagePrediction,2FOHPrediction,3Practice_RoomPrediction,4BacklinePrediction,5Merch_StandPrediction,6BarPrediction,Actual
298,0.0,0.0,0.0,0.0,0.0,0.0,0.54,4
299,0.02,0.0,0.0,0.0,0.29,0.04,0.18,4
300,0.0,0.0,0.0,0.0,0.92,0.66,0.0,4
301,0.06,0.0,0.0,0.0,0.0,0.0,0.08,0
302,0.0,0.0,0.0,0.0,0.0,0.0,0.01,4
303,0.17,0.0,0.01,0.04,0.02,0.0,0.07,6
304,0.0,0.0,0.0,0.53,0.0,0.0,0.0,3
305,0.49,0.0,0.0,0.0,0.0,0.0,0.08,1
306,0.51,0.01,0.17,0.22,0.21,0.14,0.51,3
307,0.0,0.0,0.0,0.07,0.0,0.0,0.0,3
308,0.45,0.09,0.3,0.43,0.5,0.29,0.65,5
309,0.23,0.0,0.0,0.0,0.03,0.0,0.89,6
310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
311,0.01,0.0,0.01,0.0,0.34,0.0,0.0,5
312,0.0,0.0,1.0,0.0,0.01,0.0,0.0,4
313,0.02,0.0,0.93,0.89,0.0,0.01,0.0,3
314,0.0,0.0,0.0,0.0,0.01,0.31,0.0,5
315,0.13,0.0,0.0,0.0,0.13,0.0,0.01,2
316,0.02,0.0,0.0,0.22,0.0,0.0,0.0,5
317,0.0,0.0,0.01,0.0,0.49,0.0,0.0,4
318,0.01,0.0,0.0,0.97,0.0,0.02,0.02,4
319,0.1,0.0,0.01,0.0,0.0,0.0,0.0,5
320,0.04,0.0,0.01,0.0,0.08,0.0,0.0,0
321,0.06,0.0,0.01,0.0,0.04,0.0,0.0,4
322,0.0,0.0,0.0,0.0,0.99,0.0,0.0,5
323,0.33,0.0,0.06,0.38,0.5,0.0,0.09,6
324,0.02,0.0,0.06,0.0,0.53,0.39,0.0,4
325,0.0,0.0,0.0,0.01,0.12,0.0,0.0,3
326,0.45,0.09,0.3,0.43,0.5,0.29,0.65,3
327,0.45,0.0,0.43,0.47,0.54,0.32,0.4,2
328,0.0,0.0,0.0,0.0,0.39,0.0,0.0,4
329,0.1,0.0,0.0,0.0,0.08,0.0,0.66,4
330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
331,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
332,0.0,0.0,0.0,0.0,0.02,0.98,0.0,5
333,0.0,0.0,0.04,0.98,0.0,0.0,0.0,3
334,0.01,0.0,0.0,0.29,0.0,0.0,0.03,6
335,0.0,0.0,0.0,0.01,0.0,0.0,0.0,3
336,0.0,0.0,0.0,0.0,1.0,0.01,0.0,4
337,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3
338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
339,0.01,0.0,0.0,0.0,0.0,0.0,0.0,2
340,0.03,0.0,0.02,0.03,0.04,0.03,0.07,3
341,0.0,0.0,0.11,0.0,0.0,0.0,0.0,2
342,0.01,0.0,0.0,0.0,0.92,0.0,0.0,5
343,0.11,0.0,0.22,0.0,1.0,0.0,0.01,5
344,0.01,0.0,0.0,0.0,0.0,0.02,0.0,5
345,0.45,0.09,0.3,0.43,0.5,0.29,0.65,6
346,0.0,0.0,0.0,0.01,0.0,0.0,0.0,2
347,0.0,0.0,0.0,0.22,0.08,0.0,0.0,3
348,0.0,0.0,0.01,0.0,0.0,0.0,0.51,6
349,0.07,0.0,0.0,0.0,0.04,0.0,0.95,6
350,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0
351,0.45,0.09,0.3,0.43,0.5,0.29,0.65,5
352,0.0,0.0,0.01,0.0,0.0,0.0,0.0,6
353,0.0,0.0,0.0,0.08,0.0,0.0,0.0,3
354,0.0,0.0,0.0,0.0,0.1,1.0,0.0,5
355,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0
356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
357,0.0,0.0,0.01,0.0,0.13,0.0,0.0,4
358,0.0,0.0,0.03,0.0,0.02,0.0,0.0,4
359,0.18,0.0,0.0,0.01,0.07,0.0,0.5,6
360,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
361,0.98,0.0,0.0,0.01,0.0,0.0,0.0,2
362,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0
363,0.01,0.0,0.0,0.02,0.0,0.0,0.0,5
364,0.13,0.0,0.04,0.0,0.12,0.0,0.0,2
365,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0
366,0.0,0.0,0.03,0.0,0.01,0.0,0.0,6
367,0.01,0.0,0.04,0.39,0.0,0.0,0.0,3
368,0.0,0.0,0.13,0.0,0.0,0.0,0.0,2
369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
370,0.25,0.0,0.0,0.0,0.01,0.0,0.1,4
371,0.05,0.0,0.0,0.03,0.0,0.0,0.05,3
372,0.0,0.0,0.0,0.0,0.0,0.99,0.45,0
373,0.09,0.0,0.0,0.02,0.89,0.09,0.07,6
374,0.01,0.0,0.01,0.0,0.07,0.0,0.07,4
375,0.0,0.0,0.17,0.26,0.0,0.0,0.0,3
376,0.02,0.0,0.0,0.05,0.0,0.0,0.03,4
377,0.59,0.0,0.0,0.0,0.0,0.97,0.0,5
378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
379,0.66,0.0,0.05,0.01,0.0,0.0,0.01,4
380,0.01,0.0,0.0,0.19,0.15,0.0,0.0,4
381,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3
